X,Y,ID,VARIEDADE,PATRON,ORIXEN,DATA PLANTACION,DATA ENXERTADO,X ETRS89 UTM H29,Y ETRS89 UTM H292,OBSERVACIONS,icon_url
-7.89460278611871,42.5577269907022,"26",XUDIA,SATIVA,CASA,"2022","-",590743.110274192,4712295.09767109,ENXERTADO CON PUAS DA VELA,./0.png
-7.89472408685311,42.5577289022478,"27",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590733.149704156,4712295.17998985,,./0.png
-7.89374153049674,42.5576067369696,"28",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590813.986727094,4712282.66753823,,./0.png
-7.89386079958497,42.5576101124796,"29",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590804.190794579,4712282.91449452,,./0.png
-7.89398411832788,42.5576113029573,"30",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590794.065587022,4712282.91449452,,./0.png
-7.89410436385534,42.5576161703061,"31",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590784.187335746,4712283.32608832,,./0.png
-7.89422261730909,42.5576202769698,"32",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590774.473721992,4712283.65536336,,./0.png
-7.89434686015787,42.5576259239757,"33",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590764.266195674,4712284.14927593,,./0.png
-7.89447612907681,42.5576308780094,"34",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590753.647075553,4712284.56086973,,./0.png
-7.89459133556289,42.5576371788929,"35",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590744.18041808,4712285.13710105,,./0.png
-7.8946630381179,42.5576652999788,"36",XUDIA,SATIVA,CASA,"2022","-",590738.253467315,4712288.1828952,ENXERTADO CON PUAS DA VELA,./0.png
-7.89385706970313,42.5575374258012,"36",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","2023",590804.602388382,4712274.84725598,ENXERTADO CON PUAS DA VELA,./0.png
-7.89397314379101,42.5575229783479,"37",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590795.094571529,4712273.118562,,./0.png
-7.89410439146015,42.5575294345687,"38",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590784.310813887,4712273.69479333,,./0.png
-7.89422814590853,42.5575343356557,"39",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590774.144446949,4712274.10638713,,./0.png
-7.89435844339003,42.5575378170818,"40",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","2023",590763.443008067,4712274.35334341,ENXERTADO CON PUAS DA VELA,./0.png
-7.8944847566975,42.5575397772506,"41",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590753.070844228,4712274.43566217,,./0.png
-7.89404918891277,42.5574755257335,"42",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590788.920664482,4712267.76784256,,./0.png
-7.89417352307666,42.5574759844748,"43",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590778.713138164,4712267.6855238,,./0.png
-7.89429578662966,42.5574801297658,"44",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590768.670249367,4712268.01479884,,./0.png
-7.89440909232575,42.5574804818218,"45",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590759.368229416,4712267.93248008,,./0.png
-7.81510356621503,42.5449989110814,"46","90044","-",VIVEIRO REFOXOS (CORTEGADA),"2019","-",597289.123841792,4710969.98171216,,./0.png
-7.8151100562251,42.5450732041784,"47","90044","-",VIVEIRO REFOXOS (CORTEGADA),"2019","-",597288.475581552,4710978.22387807,,./0.png
-7.81520025314043,42.5450749708999,"48","90044","-",VIVEIRO REFOXOS (CORTEGADA),"2019","-",597281.066893098,4710978.31648668,,./0.png
-7.81520433025629,42.545157579038,"49","90044","-",VIVEIRO REFOXOS (CORTEGADA),"2019","-",597280.60385007,4710987.48473864,,./0.png
-7.81530361165141,42.5451561036172,"50","90044","-",VIVEIRO REFOXOS (CORTEGADA),"2019","-",597272.45429277,4710987.20691282,,./0.png
-7.81530764160201,42.5452412132623,"51","90044","-",VIVEIRO REFOXOS (CORTEGADA),"2019","-",597271.991249742,4710996.6529906,,./0.png
